batsman,runs,ball,innings,dismissals,hundreds,fifties,thirties,highest_score,AVG,debut_year,final_year,matches
Ritesh Negi,17,19,3,2,,,,10,8.5,2015/16,2015/16,3
Ritwik Roy Chowdhury,208,167,15,8,,,2,36,26,2018/19,2023/24,15
Riyan Parag,874,633,26,20,,10,3,77,43.7,2018/19,2023/24,26
Robin Bist,171,172,10,9,,,3,45,19,2018/19,2021/22,10
Rohan Kadam,995,778,25,21,,9,7,89,47.38095238,2018/19,2021/22,25
Rohan Kunnummal,361,332,13,10,,3,3,56,36.1,2018/19,2023/24,13
Rohan Prem,394,363,15,15,,3,4,69,26.26666667,2015/16,2018/19,15
Rohit Dahiya,102,75,8,7,,,1,40,14.57142857,2015/16,2017/18,8
Rohit Dangwal,1,10,2,0,,,,1,0.5,2018/19,2018/19,2
Rohit Jhanjhariya,50,56,2,1,,,1,49,50,2018/19,2018/19,2
Rohit Rayudu,679,551,28,25,,5,5,77,27.16,2017/18,2023/24,28
Rohit Shah,84,118,5,3,,,1,38,28,2020/21,2021/22,5
Rojith Ganesh,17,24,3,3,,,,9,5.666666667,2021/22,2021/22,3
Romario Sharma,37,31,3,2,,,,20,18.5,2017/18,2017/18,3
Rongsen Jonathan,493,494,21,22,,3,5,66,22.40909091,2018/19,2023/24,21
Roosh Kalaria,87,73,14,8,,,,15,10.875,2015/16,2022/23,14
Rosan Kumar Rao,39,56,3,2,,,1,31,19.5,2015/16,2015/16,3
Roshan Alam,18,18,3,1,,,,14,18,2019/20,2021/22,3
Ruturaj Gaikwad,1132,830,34,32,,9,7,82,35.375,2017/18,2021/22,34
S Anirudha,147,117,6,3,,1,2,54,49,2015/16,2018/19,6
S Aravind,8,12,5,3,,,,6,2.666666667,2015/16,2017/18,5
S Arora,68,47,1,0,,1,,68,68,2021/22,2021/22,1
S Dhawan,194,159,8,8,,1,1,77,24.25,2019/20,2022/23,8
S Gopal,65,55,8,8,,,,20,8.125,2015/16,2023/24,8
S Sanandia,53,39,6,3,,,,18,17.66666667,2015/16,2017/18,6
S Sandeep Warrier,1,4,3,2,,,,1,0.5,2015/16,2017/18,3
SA Asnodkar,169,141,10,11,,1,,72,15.36363636,2015/16,2017/18,10
SB Jakati,38,48,7,6,,,,20,6.333333333,2015/16,2017/18,7
SB Wagh,64,74,12,6,,,,13,10.66666667,2017/18,2021/22,12
SD Chitnis,3,4,1,1,,,,3,3,2015/16,2015/16,1
SD Lad,764,641,36,31,,3,9,82,24.64516129,2015/16,2022/23,36
SJ Barman,3,3,1,0,,,,3,3,2017/18,2017/18,1
SK Ismail,0,1,1,1,,,,0,0,2018/19,2018/19,1
SK Patel,282,254,10,10,,1,4,73,28.2,2017/18,2020/21,10
SK Raina,630,489,23,20,1,4,2,126,31.5,2015/16,2020/21,23
SL Verma,84,49,4,4,,1,,51,21,2022/23,2022/23,4
SM Fallah,5,11,4,1,,,,2,5,2017/18,2020/21,4
SM Gugale,75,84,9,9,,,,19,8.333333333,2015/16,2020/21,9
SM Singha,165,202,11,10,,,2,45,16.5,2015/16,2021/22,11
SN Mandal,39,40,1,1,,,1,39,39,2022/23,2022/23,1
SN Thakur,44,61,8,5,,,,10,8.8,2015/16,2019/20,8
SP Goswami,1131,818,35,32,,10,5,86,35.34375,2015/16,2022/23,35
SR Swain,52,42,5,4,,,,27,13,2015/16,2015/16,5
SS Bandekar,59,61,5,4,,,1,31,14.75,2015/16,2015/16,5
SS Bandiwar,0,4,1,1,,,,0,0,2015/16,2015/16,1
SS Dobal,75,41,2,2,,1,,71,37.5,2015/16,2015/16,2
SS Dubhashi,6,11,1,0,,,,6,6,2022/23,2022/23,1
SS Iyer,1146,802,31,27,2,6,6,147,42.44444444,2015/16,2022/23,31
SS Mundhe,598,469,26,18,,5,3,91,33.22222222,2015/16,2022/23,26
SS Shinde,7,8,3,2,,,,6,3.5,2017/18,2017/18,3
SSK Bal,53,38,3,2,,,1,34,26.5,2020/21,2020/21,3
ST Suwalka,23,36,2,0,,,,13,11.5,2015/16,2015/16,2
STR Binny,388,325,23,15,,1,6,52,25.86666667,2015/16,2020/21,23
SU Shrivastava,195,189,12,8,,1,1,56,24.375,2015/16,2019/20,12
Saahil Jain,135,132,11,10,,,1,31,13.5,2015/16,2021/22,11
Sabin Chettri,3,5,1,1,,,,3,3,2019/20,2019/20,1
Sachidanand Pandey,35,30,5,3,,,,22,11.66666667,2017/18,2021/22,5
Sachin Baby,1111,854,35,30,,8,11,79,37.03333333,2015/16,2022/23,35
Sachin Kumar,140,130,12,5,,,1,34,28,2019/20,2022/23,12
Sagar Solanki,18,20,2,2,,,,13,9,2023/24,2023/24,2
Sagar Trivedi,92,101,11,9,,,,17,10.22222222,2017/18,2021/22,11
Sagar Udeshi,17,32,5,5,,,,9,3.4,2019/20,2022/23,5
Sagun Kamat,400,405,16,14,,2,3,61,28.57142857,2015/16,2018/19,16
Sahil Lotra,6,6,1,1,,,,6,6,2023/24,2023/24,1
Sai Kishore,26,30,8,4,,,,7,6.5,2017/18,2023/24,8
Sai Sudharsan,218,198,9,5,,1,3,54,43.6,2021/22,2023/24,9
Saidingliana Sailo,18,40,5,3,,,,6,6,2018/19,2019/20,5
Sairaj Patil,31,29,2,1,,,1,31,31,2020/21,2022/23,2
Sakibul Gani,252,228,11,9,,1,2,53,28,2020/21,2022/23,11
Salman Baig,5,6,2,2,,,,5,2.5,2018/19,2018/19,2
Salman Khan,184,146,11,8,,,2,47,23,2017/18,2022/23,11
Salman Nizar,188,140,11,5,,1,1,57,37.6,2015/16,2023/24,11
Samar Quadri,8,13,5,3,,,,5,2.666666667,2018/19,2020/21,5
Samarpit Joshi,39,28,1,1,,,1,39,39,2022/23,2022/23,1
Samarth Seth,275,260,12,10,,2,2,66,27.5,2018/19,2019/20,12
Samarth Vyas,512,362,22,18,,3,4,97,28.44444444,2019/20,2023/24,22
Sameer Choudhary,16,30,3,3,,,,10,5.333333333,2019/20,2021/22,3
Sameer Rizvi,187,148,6,4,,1,2,59,46.75,2022/23,2023/24,6
