batsman,runs,ball,innings,dismissals,hundreds,fifties,thirties,highest_score,AVG,debut_year,final_year,matches
A Aravinddaraj,0,3,1,0,,,,0,0,2020/21,2020/21,1
A Ashish Reddy,135,130,12,11,,,1,37,12.27272727,2015/16,2018/19,12
A G Pradeep,51,59,5,5,,,,26,10.2,2015/16,2015/16,5
A Mithun,50,48,13,12,,,,18,4.166666667,2015/16,2020/21,13
A Mukund,170,141,7,5,,1,2,67,34,2015/16,2017/18,7
A Palkar,2,2,1,0,,,,2,2,2021/22,2021/22,1
A Prateek Reddy,3,13,2,2,,,,3,1.5,2022/23,2022/23,2
A Pratyush Kumar,24,29,1,0,,,,24,24,2018/19,2018/19,1
A Singhania,44,55,8,6,,,,18,7.333333333,2018/19,2020/21,8
AA Bamal,26,19,4,4,,,,18,6.5,2017/18,2017/18,4
AA Barot,348,223,11,11,1,1,,122,31.63636364,2015/16,2020/21,11
AA Chakraborty,4,9,3,1,,,,2,4,2017/18,2018/19,3
AA Herwadkar,262,224,11,11,,1,3,68,23.81818182,2015/16,2017/18,11
AA Kazi,61,56,4,4,,,1,36,15.25,2018/19,2018/19,4
AA Sanklecha,14,10,3,2,,,,11,7,2015/16,2015/16,3
AB Dinda,59,64,9,6,,,,22,9.833333333,2015/16,2020/21,9
AD Nath,700,599,34,24,,2,8,80,29.16666667,2015/16,2022/23,34
AG Jungade,6,9,1,1,,,,6,6,2015/16,2015/16,1
AG Paunikar,82,66,7,5,,,,23,16.4,2018/19,2018/19,7
AG Sehrawat,18,34,2,2,,,,13,9,2017/18,2017/18,2
AH Hooda,2,10,4,3,,,,2,0.666666667,2015/16,2018/19,4
AJ Kaushik,47,46,2,2,,,1,31,23.5,2018/19,2018/19,2
AKS Bains,96,93,5,4,,,1,33,24,2022/23,2022/23,5
AL Menaria,232,220,15,13,,2,,67,17.84615385,2015/16,2022/23,15
AM Nayar,135,100,6,3,,,2,49,45,2015/16,2015/16,6
AM Reddy,29,32,3,3,,,,16,9.666666667,2022/23,2022/23,3
AN Ahmed,85,83,14,11,,,,26,7.727272727,2015/16,2021/22,14
AN Ghosh,81,92,5,6,,,,26,13.5,2015/16,2017/18,5
AN Longchar,46,88,5,5,,,,23,9.2,2019/20,2019/20,5
AP Majumdar,144,114,7,5,,,3,48,28.8,2017/18,2020/21,7
AP Tare,1009,766,42,33,,4,10,82,30.57575758,2015/16,2022/23,42
AR Lamba,5,9,2,1,,,,3,5,2019/20,2021/22,2
AR Mokhade,1,2,1,1,,,,1,1,2022/23,2022/23,1
AR Pandey,104,90,7,8,,,1,33,13,2015/16,2023/24,7
AR Patel,484,385,18,13,,2,6,70,37.23076923,2017/18,2020/21,18
ARB Singh,20,30,3,2,,,,11,10,2017/18,2017/18,3
AS Karambelkar,24,20,3,2,,,,12,12,2017/18,2019/20,3
AS Rajpoot,23,33,6,3,,,,8,7.666666667,2017/18,2021/22,6
AS Raut,200,210,13,13,,,2,41,15.38461538,2015/16,2021/22,13
AS Surwar,15,12,2,1,,,,12,15,2017/18,2017/18,2
AS Thakare,1,2,1,1,,,,1,1,2020/21,2020/21,1
AUK Pathan,174,148,6,5,,1,1,81,34.8,2015/16,2015/16,6
AV Kolhar,125,111,6,4,,,1,45,31.25,2019/20,2019/20,6
AV Wankhade,784,601,31,23,,2,10,71,34.08695652,2015/16,2022/23,31
Aakarshit Gomel,2,5,1,1,,,,2,2,2020/21,2020/21,1
Aakash Verma,16,23,3,3,,,,10,5.333333333,2017/18,2017/18,3
Aamir Gani,4,11,2,2,,,,2,2,2015/16,2015/16,2
Aanshul Gupta,214,211,13,13,,,3,39,16.46153846,2015/16,2021/22,13
Aarya Desai,99,82,4,4,,,1,44,24.75,2023/24,2023/24,4
Abdul Basith,66,51,2,2,,1,,54,33,2022/23,2023/24,2
Abdul Samad,428,312,16,11,,1,6,76,38.90909091,2018/19,2023/24,16
Abhay,1,14,3,2,,,,1,0.5,2019/20,2019/20,3
Abhay Negi,173,127,13,10,,1,,50,17.3,2018/19,2020/21,13
Abhijeet Saket,0,2,2,2,,,,0,0,2019/20,2021/22,2
Abhijeet Tomar,37,63,4,4,,,,14,9.25,2017/18,2018/19,4
Abhijit Roy,21,32,2,2,,,,13,10.5,2015/16,2015/16,2
Abhijit Sarkar,8,9,4,3,,,,6,2.666666667,2017/18,2023/24,4
Abhilash Gogoi,20,23,4,3,,,,8,6.666666667,2019/20,2019/20,4
Abhilash Mallick,37,46,2,3,,,1,30,12.33333333,2015/16,2015/16,2
Abhimanyu Easwaran,569,445,20,14,1,3,5,107,40.64285714,2018/19,2023/24,20
Abhimanyu Rana,2,7,1,1,,,,2,2,2022/23,2022/23,1
Abhimanyusingh Rajput,125,97,5,4,,1,1,61,31.25,2020/21,2023/24,5
Abhinav Dixit,84,84,5,3,,,1,37,28,2018/19,2018/19,5
Abhinav Manohar,282,196,8,5,,2,2,70,56.4,2021/22,2023/24,8
Abhinav Srivastava,10,16,2,2,,,,9,5,2021/22,2021/22,2
Abhisek Das,142,146,7,6,,1,1,56,23.66666667,2015/16,2021/22,7
Abhishek Bhandari,109,87,6,6,,,2,46,18.16666667,2018/19,2019/20,6
Abhishek Goswami,178,159,8,9,,1,1,77,19.77777778,2020/21,2023/24,8
Abhishek Gupta,33,36,5,5,,,,18,6.6,2017/18,2017/18,5
Abhishek Mohan,20,20,3,2,,,,12,10,2017/18,2018/19,3
Abhishek Pandey,1,2,1,1,,,,1,1,2020/21,2020/21,1
Abhishek Sakuja,1,2,1,0,,,,1,1,2017/18,2017/18,1
Abhishek Sharma,20,29,6,1,,,,6,20,2017/18,2020/21,6
Abhishek Singh,5,3,1,0,,,,5,5,2021/22,2021/22,1
Abhishek Tanwar,6,7,2,0,,,,5,3,2018/19,2018/19,2
Abhishek Thakuri,116,131,8,7,,,1,35,16.57142857,2020/21,2022/23,8
Abhishek Yadav,249,220,14,12,,1,3,52,20.75,2015/16,2021/22,14
Abid Mushtaq,29,32,5,4,,,,19,7.25,2019/20,2023/24,5
Abishek Porel,23,16,1,1,,,,23,23,2023/24,2023/24,1
Achit Shigwan,59,51,6,6,,,,20,9.833333333,2017/18,2019/20,6
Adil Reshi,17,26,5,4,,,,8,4.25,2015/16,2018/19,5
Aditya,64,47,1,2,,1,,64,32,2018/19,2018/19,1
Aditya Garhwal,263,246,17,15,,,4,43,17.53333333,2017/18,2021/22,17
Aditya Kaushik,567,527,24,23,,4,4,78,24.65217391,2015/16,2022/23,24
Aditya Singh,541,460,19,19,,3,5,81,28.47368421,2015/16,2021/22,19
Aditya Waghmode,282,201,10,7,,2,3,82,40.28571429,2015/16,2019/20,10
Agni Chopra,113,68,3,3,,1,,76,37.66666667,2023/24,2023/24,3
Agniv Pan,44,56,3,2,,,,17,22,2019/20,2019/20,3
Ahmed Banday,88,96,8,8,,,,24,11,2015/16,2020/21,8
Ahmed Shah,60,65,10,10,,,,13,6,2018/19,2022/23,10
Ajay Pradhan,0,2,1,1,,,,0,0,2020/21,2020/21,1
Ajay Rohera,37,31,1,1,,,1,37,37,2023/24,2023/24,1
Ajay Sarkar,10,15,6,1,,,,5,10,2015/16,2021/22,6
Ajinkya Rahane,463,363,17,15,,4,3,76,30.86666667,2018/19,2023/24,17
Ajit Yadav,1066,692,37,23,,8,6,94,46.34782609,2015/16,2020/21,37
Akash Bhandari,112,109,13,9,,,,24,12.44444444,2015/16,2019/20,13
Akash Choudhary,29,59,7,3,,,,12,9.666666667,2018/19,2023/24,7
Akash Deep,49,40,8,4,,,,13,12.25,2018/19,2023/24,8
Akash Kargave,35,43,1,1,,,1,35,35,2022/23,2022/23,1
Akash Luitel,25,35,3,1,,,,12,25,2021/22,2021/22,3
Akash Madhwal,6,14,3,0,,,,5,2,2020/21,2021/22,3
Akash Pandey,3,11,3,2,,,,2,1.5,2020/21,2023/24,3
Akash Parkar,56,73,5,5,,,,22,11.2,2017/18,2020/21,5
Akash Raj,18,27,2,1,,,,15,18,2020/21,2020/21,2
Akash Sengupta,5,7,2,2,,,,4,2.5,2021/22,2023/24,2
Akash Singh,25,28,4,2,,,,13,12.5,2022/23,2022/23,4
Akash Sudan,0,3,1,1,,,,0,0,2015/16,2015/16,1
Akash Vasisht,105,70,3,3,,,2,43,35,2022/23,2022/23,3
Akhil Rajput,178,189,7,8,,1,2,59,22.25,2018/19,2018/19,7
Akhil Rawat,300,269,19,16,,1,3,70,18.75,2018/19,2021/22,19
Akshat Raghuwanshi,24,23,3,2,,,,16,12,2022/23,2022/23,3
Akshay Jain,0,2,1,0,,,,0,0,2022/23,2022/23,1
Akshay Karnewar,314,260,29,24,,,2,35,13.08333333,2015/16,2022/23,29
Akshay Wadkar,360,366,18,15,,2,3,63,24,2017/18,2022/23,18
Akshay Wakhare,11,19,8,5,,,,6,2.2,2015/16,2020/21,8
Al Bashid Muhammed,91,180,11,9,,,,24,10.11111111,2019/20,2023/24,11
Alok Sahoo,59,56,4,2,,,,19,29.5,2015/16,2015/16,4
Ambikeshwar Mishra,2,6,1,0,,,,2,2,2018/19,2018/19,1
Amiangshu Sen,76,98,10,7,,,,22,10.85714286,2018/19,2023/24,10
Amit Ali,21,21,4,4,,,,12,5.25,2021/22,2023/24,4
Amit Chopra,42,52,6,4,,,,15,10.5,2018/19,2018/19,6
Amit Mishra,95,87,21,13,,,,19,7.307692308,2015/16,2022/23,21
Amit Pachhara,83,85,6,5,,,1,37,16.6,2017/18,2021/22,6
Amit Parashar,0,1,1,1,,,,0,0,2019/20,2019/20,1
Amit Sinha,318,315,18,15,,2,2,77,21.2,2015/16,2021/22,18
Amit Verma,446,350,21,20,1,,2,109,22.3,2015/16,2020/21,21
Amit Yadav,19,24,4,3,,,,9,6.333333333,2021/22,2022/23,4
Amlanjyoti Das,25,43,5,2,,,,22,12.5,2020/21,2021/22,5
Amod Yadav,1,2,1,1,,,,1,1,2020/21,2020/21,1
Amogh Desai,236,199,14,13,,,3,38,18.15384615,2017/18,2020/21,14
Amulya Pandrekar,13,18,6,3,,,,6,4.333333333,2018/19,2021/22,6
Anand Bais,34,45,2,1,,,1,31,34,2015/16,2019/20,2
Anant Bharwad,18,25,1,1,,,,18,18,2023/24,2023/24,1
Angkrish Raghuvanshi,74,77,3,2,,,1,32,37,2023/24,2023/24,3
Aniket Choudhary,34,33,6,2,,,,11,17,2017/18,2020/21,6
Anil Subba,0,2,1,0,,,,0,0,2019/20,2019/20,1
Aniruddha Joshi,370,285,17,10,,2,1,73,37,2015/16,2021/22,17
Anish Charak,53,69,6,6,,,,22,8.833333333,2020/21,2023/24,6
Ankit Bawne,223,180,14,10,,,3,49,22.3,2015/16,2018/19,14
Ankit Chaudhary,35,46,3,3,,,,18,11.66666667,2018/19,2018/19,3
Ankit Dabas,18,25,2,2,,,,13,9,2015/16,2015/16,2
Ankit Dane,15,24,1,1,,,,15,15,2017/18,2017/18,1
Ankit Kaushik,277,209,10,8,,1,3,74,34.625,2019/20,2021/22,10
Ankit Kumar,109,86,4,4,,1,1,59,27.25,2018/19,2023/24,4
Ankit Kushwah,10,7,1,0,,,,10,10,2017/18,2017/18,1
Ankit Lamba,744,710,26,28,,5,8,62,26.57142857,2015/16,2021/22,26
Ankit Manori,19,9,1,2,,,,19,9.5,2021/22,2021/22,1
Ankitkar Jaiswal,2,1,1,0,,,,2,2,2020/21,2020/21,1
Anmol Malhotra,65,64,6,4,,,1,40,16.25,2015/16,2019/20,6
Anmolpreet Singh,954,690,33,30,1,6,5,113,31.8,2017/18,2023/24,33
Annabathula Akash,0,4,1,1,,,,0,0,2015/16,2015/16,1
Anshul Kamboj,9,12,2,0,,,,8,4.5,2022/23,2023/24,2
Anshul Tripathi,54,47,4,3,,,1,39,18,2017/18,2018/19,4
Anshuman Gautam,32,47,2,2,,,,21,16,2019/20,2019/20,2
Anshuman Rath,63,64,2,2,,,1,34,31.5,2021/22,2021/22,2
Antony Dhas,61,50,3,0,,,,28,20.33333333,2015/16,2017/18,3
Anuj Rawat,479,418,24,20,,1,7,88,23.95,2018/19,2023/24,24
Anukul Roy,250,145,17,10,,,4,47,25,2018/19,2021/22,17
Anurag Sarangi,190,175,13,12,,,1,43,15.83333333,2015/16,2018/19,13
Anurag Tiwari,0,1,1,1,,,,0,0,2015/16,2015/16,1
Anureet Singh,166,155,14,7,,,1,41,23.71428571,2015/16,2020/21,14
Aprameya Jaiswal,0,2,1,1,,,,0,0,2023/24,2023/24,1
Arien Sangma,7,23,1,1,,,,7,7,2023/24,2023/24,1
Arjit Gupta,252,189,15,14,,,3,45,18,2019/20,2022/23,15
Arjit Pannu,64,50,3,2,,,1,44,32,2021/22,2021/22,3
Arjun Sharma,5,9,3,2,,,,4,2.5,2018/19,2018/19,3
Arjun Tendulkar,20,29,4,4,,,,15,5,2020/21,2022/23,4
Arkaprabha Sinha,118,138,12,13,,,1,31,9.076923077,2019/20,2023/24,12
Arnab Nandi,29,27,3,1,,,,21,29,2019/20,2020/21,3
Arpit Gaud,59,58,5,5,,,1,37,11.8,2020/21,2020/21,5
Arpit Vasavada,395,322,20,16,,2,3,72,24.6875,2015/16,2021/22,20
Arshad Khan,16,23,2,2,,,,12,8,2023/24,2023/24,2
Arshdeep Singh,10,8,1,0,,,,10,10,2023/24,2023/24,1
Arslan Khan,19,9,1,1,,,,19,19,2020/21,2020/21,1
Arun Chaprana,81,62,9,7,,,,19,11.57142857,2018/19,2020/21,9
Arun Karthik,82,99,10,10,,,,26,8.2,2018/19,2021/22,10
Arup Das,6,12,2,2,,,,5,3,2017/18,2017/18,2
Arya Sethi,7,10,1,1,,,,7,7,2019/20,2019/20,1
Aryan Juyal,31,33,4,4,,,,14,7.75,2018/19,2022/23,4
Aryan Sahani,226,220,20,17,,,3,41,13.29411765,2018/19,2023/24,20
Arzan Nagwaswalla,26,26,7,4,,,,12,6.5,2018/19,2021/22,7
Asfan Khan,110,146,11,9,,,,29,12.22222222,2018/19,2019/20,11
Ashish Rai,1,2,1,1,,,,1,1,2021/22,2021/22,1
Ashish Thapa,170,300,18,15,,,,26,11.33333333,2018/19,2021/22,18
Ashith Rajiv,59,60,5,1,,,1,33,59,2019/20,2020/21,5
Ashutosh Aman,102,136,16,14,,,,24,7.285714286,2018/19,2022/23,16
Ashutosh Sharma,878,610,34,28,2,6,3,112,31.35714286,2017/18,2023/24,34
Ashutosh Singh,8,11,1,1,,,,8,8,2015/16,2015/16,1
Ashwin Das,84,40,3,1,,1,,68,84,2022/23,2022/23,3
Ashwin Hebbar,934,751,35,32,1,5,8,103,29.1875,2015/16,2023/24,35
Atharva Ankolekar,62,53,4,2,,,1,37,31,2020/21,2021/22,4
Atharva Taide,565,483,24,18,,1,9,56,31.38888889,2018/19,2022/23,24
Atit Sheth,193,158,22,7,,,,29,27.57142857,2017/18,2023/24,22
Auqib Nabi,33,42,5,5,,,,12,6.6,2019/20,2023/24,5
Avesh Khan,20,26,8,6,,,,9,3.333333333,2018/19,2023/24,8
Avijit Singh,3,11,2,2,,,,2,1.5,2020/21,2020/21,2
Avinash Jadhav,28,22,2,2,,,,22,14,2022/23,2022/23,2
Avinash Thapa,0,3,1,1,,,,0,0,2023/24,2023/24,1
Avinash Yadav,21,25,3,2,,,,19,10.5,2022/23,2022/23,3
Avishek Sinha,52,55,6,2,,,,15,26,2015/16,2017/18,6
Avneesh Sudha,200,184,12,12,,,3,43,16.66666667,2019/20,2022/23,12
Ayan Bhattacharjee,9,9,2,1,,,,8,9,2018/19,2019/20,2
Ayush Awasthi,52,25,2,2,,,1,48,26,2023/24,2023/24,2
Ayush Badoni,223,188,8,4,,1,2,80,55.75,2020/21,2023/24,8
Azim Kazi,429,370,25,12,,1,5,71,35.75,2015/16,2021/22,25
B Indrajith,96,106,5,5,,,1,46,19.2,2015/16,2018/19,5
BA Bhatt,19,13,4,1,,,,12,19,2015/16,2020/21,4
BA Pathan,0,4,3,1,,,,0,0,2019/20,2020/21,3
BB Dey,14,16,2,0,,,,11,7,2019/20,2019/20,2
BB Roy,19,28,4,4,,,,8,4.75,2015/16,2015/16,4
BB Samantray,396,314,19,17,1,,5,102,23.29411765,2015/16,2020/21,19
BB Sran,68,57,7,5,,,,19,13.6,2017/18,2019/20,7
BH Merai,86,87,3,1,,,2,48,86,2017/18,2019/20,3
BR Sharath,287,261,21,19,,1,2,50,15.10526316,2017/18,2023/24,21
BS Sharma,28,16,3,3,,,,14,9.333333333,2020/21,2020/21,3
Baba Aparajith,580,535,27,21,,1,8,52,27.61904762,2015/16,2023/24,27
Babul Kumar,461,411,22,21,,2,5,82,21.95238095,2018/19,2022/23,22
Bal Krishna,1,4,2,2,,,,1,0.5,2020/21,2021/22,2
Baltej Singh,10,8,2,2,,,,5,5,2018/19,2018/19,2
Bandaru Ayyappa,102,74,10,6,,,,24,17,2015/16,2022/23,10
Basil Thampi,35,31,9,5,,,,22,7,2015/16,2019/20,9
Basir Rahman,33,63,5,6,,,,12,5.5,2019/20,2023/24,5
Bavanaka Sandeep,696,601,29,28,,2,8,74,24.85714286,2015/16,2021/22,29
Benoy Upreti,8,22,2,2,,,,7,4,2019/20,2019/20,2
Bhagmender Lather,15,11,2,1,,,,14,15,2021/22,2021/22,2
Bhanu Pania,197,187,16,8,,1,1,55,24.625,2020/21,2023/24,16
Bharat Sharma,34,43,4,4,,,,20,8.5,2021/22,2022/23,4
Bhuvneshwar Kumar,181,150,18,12,,,1,33,15.08333333,2015/16,2021/22,18
Bibek Diyali,124,197,12,12,,,,23,10.33333333,2018/19,2020/21,12
Bidash Chingakham,37,31,4,4,,,,17,9.25,2022/23,2023/24,4
Bikas Pati,19,26,2,2,,,,10,9.5,2015/16,2015/16,2
Bikash Singh,24,45,4,4,,,,13,6,2022/23,2023/24,4
Bikramjit Debnath,2,3,1,1,,,,2,2,2023/24,2023/24,1
Bikramkumar Das,424,424,21,20,,4,2,67,21.2,2015/16,2023/24,21
Bipin Saurabh,206,175,8,8,,2,,72,25.75,2021/22,2022/23,8
Bipul Sharma,296,221,11,10,,1,5,62,29.6,2018/19,2020/21,11
Bishal Roy,77,58,3,1,,,1,45,77,2023/24,2023/24,3
Bishworjit Konthoujam,7,18,6,2,,,,2,3.5,2019/20,2023/24,6
Bobby Yadav,5,7,1,1,,,,5,5,2018/19,2018/19,1
Bobby Zothansanga,8,19,6,2,,,,3,4,2018/19,2022/23,6
Bodavarapu Sudhakar,21,28,4,2,,,,11,10.5,2015/16,2015/16,4
Bonny Chingangbam,20,29,3,2,,,,16,10,2018/19,2021/22,3
Bravish Shetty,16,20,2,2,,,,16,8,2017/18,2017/18,2
C Rathore,10,11,2,2,,,,10,5,2022/23,2022/23,2
CA Pujara,623,503,16,13,1,5,3,100,47.92307692,2015/16,2022/23,16
CM Gautam,107,95,10,7,,,1,36,15.28571429,2015/16,2017/18,10
CP Singh,114,105,10,8,,,1,36,14.25,2015/16,2020/21,10
CV Varun,1,7,1,1,,,,1,1,2023/24,2023/24,1
Chabungbam Ishworjit,3,3,1,1,,,,3,3,2021/22,2021/22,1
Chaitanya Bishnoi,755,662,32,26,,4,9,65,29.03846154,2015/16,2022/23,32
Chama Milind,175,133,21,12,,,,26,14.58333333,2015/16,2022/23,21
Chandan Ray,0,1,1,1,,,,0,0,2020/21,2020/21,1
Chandan Sahani,29,29,2,2,,,,25,14.5,2023/24,2023/24,2
Chanderpal Saini,40,38,3,2,,,,20,20,2017/18,2017/18,3
Cheepurapalli Stephen,4,8,4,0,,,,2,1,2015/16,2015/16,4
Chengkam Sangma,1,3,2,1,,,,1,1,2019/20,2021/22,2
Chetan Bist,466,421,19,12,,2,6,60,38.83333333,2017/18,2022/23,19
Chintal Gandhi,10,12,2,0,,,,9,5,2021/22,2022/23,2
Chintan Gaja,43,59,8,6,,,,11,7.166666667,2017/18,2023/24,8
Chirag Gandhi,735,629,35,24,,4,6,68,30.625,2015/16,2023/24,35
Chirag Jani,342,274,23,17,,,4,42,20.11764706,2015/16,2023/24,23
Chirag Khurana,264,211,8,6,,2,2,78,44,2015/16,2021/22,8
Chirag Parmar,1,4,1,1,,,,1,1,2017/18,2017/18,1
Chiranjit Paul,11,19,4,3,,,,5,3.666666667,2015/16,2015/16,4
Chongtham Mehul,1,3,1,1,,,,1,1,2021/22,2021/22,1
Codanda Ajit Karthik,107,101,4,3,,1,,61,35.66666667,2021/22,2021/22,4
D Chauhan,20,28,2,1,,,,18,20,2018/19,2019/20,2
D Joshi,8,5,1,1,,,,8,8,2022/23,2022/23,1
D Khatri,13,7,1,0,,,,13,13,2022/23,2022/23,1
D Rabha,9,5,1,1,,,,9,9,2022/23,2022/23,1
D Rai,6,4,1,1,,,,6,6,2015/16,2015/16,1
DB Das,48,55,7,6,,,,22,8,2015/16,2019/20,7
DB Ravi Teja,530,529,23,17,,3,5,61,31.17647059,2017/18,2021/22,23
DH Yagnik,44,49,4,3,,,,23,14.66666667,2015/16,2015/16,4
DJ Hooda,858,652,34,30,,7,5,75,28.6,2015/16,2021/22,34
DJ Muthuswami,4,7,2,0,,,,2,2,2015/16,2017/18,2
DK Sharma,0,2,1,1,,,,0,0,2019/20,2019/20,1
DM Mistry,9,7,1,1,,,,9,9,2017/18,2017/18,1
DR Deshmukh,19,14,2,2,,,,10,9.5,2019/20,2019/20,2
DR Shorey,493,443,23,19,,3,4,70,25.94736842,2015/16,2021/22,23
Damodaran Rohit,405,419,25,23,,2,2,55,17.60869565,2018/19,2022/23,25
Danveer Singh,477,379,24,16,,1,5,56,29.8125,2015/16,2021/22,24
Darremsanga,2,7,2,2,,,,2,1,2018/19,2020/21,2
Darshan Misal,337,342,29,23,,1,,50,14.65217391,2015/16,2023/24,29
Darshan Nalkande,76,92,12,9,,,,21,8.444444444,2018/19,2022/23,12
Daryl Ferrario,51,54,4,2,,,,22,25.5,2017/18,2018/19,4
Debabrata Pradhan,158,124,14,16,,,1,45,9.875,2017/18,2021/22,14
Debasish Samantray,44,42,2,2,,,,25,22,2017/18,2017/18,2
Deendyal Upadhyay,1,4,1,1,,,,1,1,2018/19,2018/19,1
Deepak Behera,11,15,3,3,,,,5,3.666666667,2015/16,2015/16,3
Deepak Chahar,126,116,13,8,,1,,55,15.75,2017/18,2020/21,13
Deepak Punia,80,84,7,5,,,1,30,16,2015/16,2021/22,7
Deepraj Gaonkar,283,259,19,19,,,4,48,14.89473684,2015/16,2023/24,19
Denish Das,243,278,14,14,,,3,35,17.35714286,2020/21,2023/24,14
Dev Lakra,1,2,1,1,,,,1,1,2023/24,2023/24,1
Devdutt Padikkal,780,576,24,21,,7,5,99,37.14285714,2019/20,2023/24,24
Devender Lohchab,52,82,4,3,,,1,34,17.33333333,2015/16,2021/22,4
Dharmendrasinh Jadeja,106,84,12,10,,1,,59,10.6,2015/16,2023/24,12
Dhavanath,8,12,1,0,,,,8,8,2018/19,2018/19,1
Dhawal Kulkarni,68,67,11,8,,,,19,8.5,2015/16,2020/21,11
Dheeraj Kumar,460,427,23,25,,3,3,92,18.4,2015/16,2023/24,23
Dhrumil Matkar,2,2,2,0,,,,1,1,2017/18,2019/20,2
Dhrushant Soni,24,27,5,6,,,,12,4,2020/21,2022/23,5
Dhruv Jurel,69,66,5,4,,,,25,17.25,2020/21,2023/24,5
Dhruv Patel,873,641,44,42,,4,4,96,20.78571429,2017/18,2023/24,44
Dhruv Raval,384,291,17,14,,2,2,73,27.42857143,2017/18,2021/22,17
Dikshanshu Negi,318,291,17,14,,1,,77,22.71428571,2019/20,2022/23,17
Dinesh Bana,17,16,1,1,,,,17,17,2022/23,2022/23,1
Dinesh Mor,98,99,9,5,,,1,31,19.6,2019/20,2020/21,9
Dipayan Debbarma,39,51,3,2,,,,22,19.5,2020/21,2021/22,3
Dippu Sangma,17,28,4,3,,,,13,5.666666667,2020/21,2021/22,4
Divyang Hinganekar,119,84,10,6,,,1,35,19.83333333,2017/18,2021/22,10
Divyanshu Yadav,7,16,2,2,,,,6,3.5,2023/24,2023/24,2
Diwesh Pathania,182,140,15,10,,,1,41,18.2,2017/18,2021/22,15
EC Sen,80,59,3,1,,,2,37,80,2022/23,2022/23,3
ER Dwivedi,296,248,11,8,,1,3,89,37,2015/16,2017/18,11
Eknath Kerkar,210,190,13,10,,,4,46,21,2017/18,2022/23,13
Erik Roy,26,26,2,0,,,,19,13,2020/21,2020/21,2
Eshaan Ravi,4,4,1,1,,,,4,4,2019/20,2019/20,1
F Lalmuanzuala,11,37,4,4,,,,4,2.75,2022/23,2023/24,4
FY Fazal,448,424,21,20,,1,5,54,22.4,2015/16,2019/20,21
Fabid Ahmed,218,229,22,17,,,,27,12.82352941,2015/16,2021/22,22
Faiz Ahmed,41,56,2,3,,,,26,13.66666667,2015/16,2015/16,2
Faruque Hussain,1,1,1,0,,,,1,1,2020/21,2020/21,1
Fazil Rashid,42,37,4,2,,,,25,21,2019/20,2023/24,4
Felix Alemao,22,21,5,1,,,,13,22,2015/16,2018/19,5
G Gambhir,226,239,13,13,,1,2,66,17.38461538,2015/16,2017/18,13
G Lalbiakvela,16,40,10,9,,,,6,1.777777778,2018/19,2022/23,10
GA Singh,174,135,9,7,1,,1,100,24.85714286,2018/19,2020/21,9
GS Raju,0,2,1,1,,,,0,0,2017/18,2017/18,1
Gandhar Bhatawadekar,39,43,4,4,,,,22,9.75,2018/19,2019/20,4
Ganesh Satish,530,555,30,30,,2,6,54,17.66666667,2015/16,2023/24,30
Gaurav,3,3,1,0,,,,3,3,2018/19,2018/19,1
Gaurav Chaudhary,48,31,4,3,,,,23,16,2019/20,2019/20,4
Gaurav Gambhir,3,4,1,1,,,,3,3,2019/20,2019/20,1
Gaurav Puri,91,56,6,5,,,1,35,18.2,2019/20,2021/22,6
Gaurav Yadav,5,3,1,1,,,,5,5,2019/20,2019/20,1
Gemson Singh,2,6,1,1,,,,2,2,2020/21,2020/21,1
Girinath Reddy,209,153,13,10,,1,1,62,20.9,2017/18,2022/23,13
Girish Rauturi,76,56,7,6,,,1,49,12.66666667,2018/19,2020/21,7
Gitansh Khera,31,40,2,2,,,,22,15.5,2015/16,2015/16,2
Gokul Sharma,10,12,2,2,,,,10,5,2015/16,2015/16,2
Gourav Choudhury,68,55,3,2,,,1,36,34,2020/21,2020/21,3
Govinda Poddar,438,353,19,19,,3,1,64,23.05263158,2015/16,2021/22,19
Gurkeerat Singh,675,525,29,24,,1,9,63,28.125,2017/18,2023/24,29
Gurkeerat Singh Mann,18,12,2,1,,,,10,18,2022/23,2022/23,2
Guruswamy Ajitesh,14,13,3,3,,,,8,4.666666667,2023/24,2023/24,3
Gurvinder Singh,7,16,5,3,,,,5,2.333333333,2015/16,2018/19,5
HH Khadiwale,22,24,3,3,,,,10,7.333333333,2015/16,2015/16,3
HS Joshi,79,77,3,2,,1,,61,39.5,2015/16,2015/16,3
Habib Gandhi,12,13,1,1,,,,12,12,2023/24,2023/24,1
Hanuma Vihari,574,467,25,23,,3,4,84,24.95652174,2015/16,2023/24,25
Harbhajan Singh,121,117,10,9,,,2,33,13.44444444,2015/16,2018/19,10
Hardeep Singh,1,7,1,1,,,,1,1,2019/20,2019/20,1
Hardik Patel,4,10,3,1,,,,2,4,2015/16,2020/21,3
Hardik Tamore,24,31,2,2,,,,19,12,2020/21,2022/23,2
Hari Nishaanth,688,560,26,22,,4,3,92,31.27272727,2018/19,2023/24,26
Harishankar Reddy,30,26,8,3,,,,16,10,2017/18,2023/24,8
Harpreet Brar,91,81,13,8,,,,22,11.375,2019/20,2023/24,13
Harpreet Singh,306,288,11,9,,3,2,63,34,2015/16,2017/18,11
Harsh Desai,57,54,4,4,,,,26,14.25,2022/23,2023/24,4
Harsh Raj,1,1,1,0,,,,1,1,2021/22,2021/22,1
Harsh Tyagi,267,208,19,8,,,3,38,33.375,2018/19,2023/24,19
